,A549,GM12878,H1hESC,HeLaS3,HepG2,HT1080,HUVEC,IMR90,K562,MCF7,NCIH460,NHEK,SKMEL5,SKNDZ,SKNSH
0,4.878783933432393e-05,8.496713048666503e-06,0.0018347796871055983,4.907484968288561e-07,0.46106842799453385,0.15319814177499508,0.04353373319070408,0.030895370662829366,0.5618705148167283,0.007806602134711023,0.4227220075427649,3.013239489183077e-06,0.3952611468992262,0.03211724375025435,0.002242183456242262
1,5.442891506224258e-11,0.0805107426733657,1.9490413962305276e-56,9.475500774812907e-10,0.09487858160272591,0.015721742369087553,1.2632989277574877e-09,0.25894183268186965,0.36301989658407186,0.006830489592950323,0.6301932640878083,0.4269572598672712,0.001404141523018151,0.5339144082456114,0.00012987743767928792
2,0.23702598110980677,0.8746748231048267,0.5357839604078753,0.12911813441110254,0.6829329265940269,0.04326447255272266,0.8514782232356537,0.025783418936184927,0.3398147709579826,0.04995044914039887,0.8089987645709427,0.14436601246676176,0.0756862181660927,0.2564100913581082,0.6459512891389416
3,1.1346138848961035e-07,2.9456262428268087e-08,0.05432152603109801,0.010264955449908016,8.973985884465787e-05,0.09300873951510488,0.002888908613031754,0.913040689857264,0.0068502732897463845,0.02487724308360903,0.016284340281984812,0.0028068775669511637,0.6980234892174221,0.002672846479776621,0.00027039983439986994
4,0.7692511819013625,0.005796810615558367,0.003508030426081734,0.8905350737737865,0.36187160867412926,0.0662726910831312,0.32097017163351005,0.5394702974115002,0.16165775059814202,0.8264889565976881,0.5309094419511667,0.01786201771357604,0.4272577609528714,0.6347177526565406,0.33202691287965014
5,0.19458224317408235,0.026313914518023267,1.1600403744964425e-05,0.18138306786536795,0.5698102451192268,0.13040367530455427,0.3221259486234538,0.6537202481989437,0.2917383974274972,0.8822181487717354,0.7516605688230036,0.0743885084793283,0.7110223642836402,0.8978403562867251,0.7738185011344574
6,0.8236488415112186,0.07884301010363337,0.2306236958569543,0.18254710230948412,0.48057871254570417,0.02377247366643794,0.09333742707715524,0.12978115092544842,0.20014878851447293,0.45544704056000973,0.2744543643272156,0.00239738911464771,0.23551036157118044,0.29402588996490064,0.3310439530152727
7,0.8093198018232282,0.009828421674808914,0.2181343241691207,0.5731843968890313,0.8293299351318332,0.502271621595606,0.6141876473975199,0.6644655623154061,0.052756117543184586,0.9292124777707559,0.04977845729876603,0.06021682654276155,0.34851106024083744,0.17682840209045636,0.6398882516909912
8,0.11710056445692914,0.001990894113080238,0.14899872991576027,0.4318726461438861,0.6944212345440633,0.7903434431138112,0.629823976623245,0.9850257721036968,0.02429305283900746,0.8756790753422333,0.08416845525852629,0.23284807049035006,0.7110243415153321,0.034483922747373476,0.34309437015564026
9,0.8767867089016971,0.012724823963066983,0.4153917515292578,0.7160989464605862,0.9815973759874406,0.8701647422926957,0.954555758270542,0.7180608209863547,0.006000062183007787,0.9932290747116991,0.017568327916093727,0.09833262221176893,0.719744138562219,0.2654645237061165,0.6583086696710518
10,2.0932102546302883e-12,0.005099783344553049,0.0006356079414639837,0.8303305717296888,0.008905406881529146,0.0034464918984301917,1.1440579111950722e-06,0.09157038516866721,0.17186958167719002,1.0709152806746913e-06,0.8281164544617423,0.0013876939536408362,0.3739897977878184,0.09591501849822204,3.709885022887255e-07
11,2.6421079416941417e-05,0.8731401970050565,0.20512709748027558,0.9158877787934436,0.18901717110833172,0.020788232098246796,0.0036821963121238385,0.16976404484146734,0.932425886286427,0.007389097983817115,0.9824947155370919,0.004419967415029482,0.31056290233952266,0.7295917218792191,0.0006167853645590369
12,0.00042271630533635555,0.80558414988274,0.5439065906975727,0.7812173971435958,0.5392995493571477,0.15622350700138515,0.007456440044315416,0.5133243755465635,0.5491737180307642,0.03569116155121488,0.8828517222757284,0.11001325088045899,0.5027661783945309,0.49078696319410586,0.026733431846448438
13,2.338441680125387e-07,1.1608910994503075e-05,2.109596500485868e-12,0.15871915144567417,1.4326361069571144e-06,0.0011838504720728864,2.143458445997387e-11,0.0007257030637640645,0.0064652491972997835,4.897389476159953e-14,0.9506940955135574,0.06489830289101484,0.13676573265080313,0.032975212099816964,0.010215445964618554
14,0.0034492737345351815,1.228266667637447e-12,0.022469924795049025,0.5646370807172859,2.8143805450928377e-08,0.15902478368346917,1.6211342370587617e-06,0.0008889059667477924,8.988834624554222e-05,8.98559591055213e-06,0.21851890266280416,0.6021309073403616,0.47658214761412987,9.567502015310514e-05,0.20947255840487256
15,5.098051284342489e-08,1.3376799044202414e-07,5.810151330071028e-25,4.864109480160085e-08,2.5961551516662854e-17,0.26851823678817066,3.471052915804019e-13,0.9262296134314351,0.0006019472690042241,3.135455102296768e-10,0.004585306799982996,0.00032678192264150215,0.003750809142810029,0.0003197970930704753,6.929243238898956e-07
16,5.938938219841071e-09,3.017184390633048e-11,3.394104665232155e-24,0.01412144352937578,0.0004535393358629251,0.026454299021863345,0.014465767411714377,0.5511638321184122,8.832713444837294e-10,0.18667187091823356,0.5988093809189313,0.9257283927140469,0.5745698992586188,0.022079473768770168,0.194424136198164
