tt	A549	GM12878	H1hESC	HeLaS3	HepG2	HT1080	HUVEC	IMR90	K562	MCF7	NCIH460	NHEK	SKMEL5	SKNDZ	SKNSH
Feature#52	9.27E-12	2.68E-09	3.37E-12	0.000160958	4.12E-12	1.54E-07	1.78E-19	0.095472391	1.07E-08	6.16E-13	7.24E-08	0.084160262	1.00E+00	3.27E-16	3.99E-11
Feature#53	4.62E-11	9.34E-09	9.02E-28	0.045805085	3.36E-10	0.48138377	4.16E-09	0.29650442	0.000296023	2.56E-05	0.804210832	0.176416893	0.009744896	1.00E+00	0.000116834
Feature#54	7.76E-20	4.71E-11	8.76E-37	1.14E-07	2.58E-16	0.000133142	9.22E-19	0.074879904	7.88E-08	1.67E-11	1.00E+00	0.001187058	0.004473018	2.34E-06	2.20E-05
Feature#55	0.02401144	0.556134343	0.00028805	0.248451765	0.248176629	6.00E-07	0.565799927	0.001430795	0.339182519	0.041970148	1	6.40E-05	0.02816991	0.164070385	9.80E-05
Feature#56	3.82E-14	1.07E-13	5.80E-15	9.06E-08	1.53E-16	0.010324562	4.77E-20	0.132277011	1.66E-06	7.26E-14	0.007030139	5.86E-08	8.83E-05	0.001054475	1.26E-10
Feature#57	1.80E-07	3.97E-06	2.26E-08	0.000147371	1.57E-09	0.243350105	5.32E-14	0.033335157	6.02E-05	2.83E-06	0.023037835	0.084049719	0.000303613	3.61E-07	0.000757437
Feature#58	7.03E-14	3.05E-12	7.51E-16	1.33E-06	4.61E-16	0.026919427	7.81E-21	0.135994252	1.50E-06	4.00E-12	0.007790125	6.30E-07	0.00018007	0.000382195	1.41E-09
Feature#59	1.24E-10	2.91E-07	6.59E-14	0.000270248	8.14E-12	0.223795638	2.64E-20	0.232283697	2.50E-05	1.12E-08	0.029412506	0.001158059	0.000627018	0.000523705	1.61E-06
Feature#60	0.000443518	0.000158615	0.600878989	0.091260969	0.007942085	0.034052415	0.077915744	0.160943073	0.023219668	0.019186254	0.906656502	3.09E-05	0.367704776	0.443229606	0.000340286
Feature#61	0.954335006	0.62666448	0.313991219	0.016954433	0.384161389	0.598628448	0.296958388	0.348419035	0.124713299	0.535089773	0.977076812	0.794194612	0.217513319	0.003729312	0.770881024
Feature#62	2.13E-11	0.002634668	9.92E-09	0.104577345	0.003412129	8.85E-07	3.74E-08	0.000736022	0.00260892	1.69E-06	0.221872929	0.000548972	0.474572183	0.13652325	0.001082599
Feature#63	1.12E-05	0.31504301	0.016210021	0.629533565	8.84E-05	0.000228329	3.44E-05	0.002035897	0.801681679	1.88E-07	0.626914434	0.047150125	0.353223737	0.021210205	0.065349328
Feature#64	0.082217634	0.202112838	0.287897646	0.295818228	0.930388409	0.238548055	0.211426536	0.218663188	0.37493517	0.386711653	0.702828791	0.347093012	0.499159459	0.780766455	0.6228726
Feature#65	0.010835144	0.001252185	0.002965666	0.238070849	0.049171643	0.089435932	0.149411865	0.405904123	0.208307962	0.024993002	0.028584196	0.013648323	0.757615546	0.020278408	0.005274536
Feature#66	8.24E-16	3.77E-14	2.70E-06	0.614550446	1.64E-05	2.26E-09	1.36E-14	0.00470005	2.64E-09	1.36E-15	0.124917617	7.39E-07	0.219090611	0.059580507	7.31E-09
Feature#67	0.016846989	0.082251084	0.53176537	0.404917824	0.025091524	0.035048907	0.000128882	0.283665642	0.595785321	1.58E-05	0.77577564	0.079079559	0.015883082	0.647493058	0.218855839
Feature#68	2.13E-08	7.57E-05	0.006832408	0.79231048	0.01749755	1.60E-06	0.001335013	0.021284619	0.003289886	2.36E-05	0.022829688	5.01E-07	0.010096994	0.000209574	5.61E-05
Feature#69	0.230842734	1	1	0.595871011	0.691371392	1	0.852444081	0.78850272	0.289772497	1	0.449878115	1	0.748508272	0.8194517	0.246685686
Feature#70	0.389605319	0.276751852	0.786515375	0.439887525	0.54678213	0.847423451	0.35455824	0.744233713	0.772745166	0.357665623	0.136057991	0.219308288	0.018982633	0.060576183	0.017337419
Feature#71	0.006401375	0.003293889	0.117448681	0.30259901	0.000506521	0.686212512	0.008894066	0.149090594	0.013984715	0.012134429	0.300396489	0.001431656	0.051808602	0.648706885	0.006189704
Feature#72	0.648070563	0.254381677	1	0.493071415	1	1	0.44887645	1	1	0.677360568	1	1	1	0.387755102	0.62132936
Feature#73	0.243416075	0.006341215	0.126570063	0.445054621	0.119908637	0.00637406	0.46428171	0.033110765	0.304265776	0.049396224	0.86276858	0.129277152	0.790450992	0.015077925	0.023670058
Feature#74	0.192660963	1	0.471608922	0.079796396	0.810518195	0.718338453	0.916646604	0.651813305	0.792305827	0.689127196	0.374978558	0.90548865	0.473394113	1	0.684883669
Feature#75	0.015555849	0.000209926	0.824809256	0.427688258	0.020910576	0.411714687	0.25240408	0.72971375	0.141698607	0.282434674	0.028324505	0.03368746	0.200557745	0.001435031	0.097393818
Feature#76	0.855510864	0.723763409	1	1	0.276090327	0.695013092	0.443892411	0.150427937	0.664376918	0.285245687	0.085359437	1	0.592058386	0.807560436	0.246685686
Feature#77	0.553769055	0.08607245	0.090336332	0.394118885	0.202383898	0.321278615	0.097352796	0.283282159	0.849481921	0.077952191	0.697415864	0.504897928	0.200825023	0.478620909	0.387296287
